"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1470","6/1/2016 00:00:18","6/1/2016 00:24:48","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","3236","W 42 St & Dyer Ave","40.75898481399634","-73.99379968643188","19859","Subscriber","1972","1"
"229","6/1/2016 00:00:20","6/1/2016 00:04:09","3092","Berry St & N 8 St","40.7190095","-73.95852515","3103","N 11 St & Wythe Ave","40.72153267","-73.95782357","16233","Subscriber","1967","1"
"344","6/1/2016 00:00:21","6/1/2016 00:06:06","449","W 52 St & 9 Ave","40.76461837","-73.98789473","469","Broadway & W 53 St","40.76344058","-73.98268129","22397","Subscriber","1989","1"
"1120","6/1/2016 00:00:28","6/1/2016 00:19:09","522","E 51 St & Lexington Ave","40.75714758","-73.97207836","401","Allen St & Rivington St","40.72019576","-73.98997825","16231","Subscriber","1991","1"
"229","6/1/2016 00:00:53","6/1/2016 00:04:42","335","Washington Pl & Broadway","40.72903917","-73.99404649","285","Broadway & E 14 St","40.73454567","-73.99074142","15400","Subscriber","1989","1"
"946","6/1/2016 00:01:01","6/1/2016 00:16:48","503","E 20 St & Park Ave","40.73827428","-73.98751968","495","W 47 St & 10 Ave","40.76269882","-73.99301222","25193","Subscriber","1974","1"
"2351","6/1/2016 00:01:05","6/1/2016 00:40:16","533","Broadway & W 39 St","40.75299641","-73.98721619","386","Centre St & Worth St","40.71494807","-74.00234482","19538","Subscriber","1986","1"
"773","6/1/2016 00:01:24","6/1/2016 00:14:18","492","W 33 St & 7 Ave","40.75019995","-73.99093085","483","E 12 St & 3 Ave","40.73223272","-73.98889957","17101","Subscriber","1986","1"
"1929","6/1/2016 00:01:27","6/1/2016 00:33:37","525","W 34 St & 11 Ave","40.75594159","-74.0021163","306","Cliff St & Fulton St","40.70823502","-74.00530063","17802","Subscriber","1968","1"
"725","6/1/2016 00:01:38","6/1/2016 00:13:43","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","3083","Bushwick Ave & Powers St","40.71247661","-73.94100005","21421","Subscriber","1971","2"
"930","6/1/2016 00:01:49","6/1/2016 00:17:19","447","8 Ave & W 52 St","40.76370739","-73.9851615","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","17652","Subscriber","1964","1"
"370","6/1/2016 00:01:59","6/1/2016 00:08:10","350","Clinton St & Grand St","40.71559509","-73.9870295","150","E 2 St & Avenue C","40.7208736","-73.98085795","16341","Subscriber","1952","1"
"1795","6/1/2016 00:02:04","6/1/2016 00:32:00","434","9 Ave & W 18 St","40.74317449","-74.00366443","3139","E 72 St & Park Ave","40.77118287540658","-73.96409422159195","17615","Subscriber","1968","1"
"462","6/1/2016 00:02:09","6/1/2016 00:09:52","355","Bayard St & Baxter St","40.71602118","-73.99974372","268","Howard St & Centre St","40.71910537","-73.99973337","14581","Subscriber","1982","1"
"582","6/1/2016 00:02:21","6/1/2016 00:12:04","456","E 53 St & Madison Ave","40.7597108","-73.97402311","492","W 33 St & 7 Ave","40.75019995","-73.99093085","20782","Subscriber","1969","1"
"367","6/1/2016 00:02:44","6/1/2016 00:08:51","450","W 49 St & 8 Ave","40.76227205","-73.98788205","493","W 45 St & 6 Ave","40.7568001","-73.98291153","18191","Subscriber","1975","1"
"232","6/1/2016 00:02:48","6/1/2016 00:06:40","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","3236","W 42 St & Dyer Ave","40.75898481399634","-73.99379968643188","22074","Subscriber","1985","1"
"240","6/1/2016 00:03:00","6/1/2016 00:07:00","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","174","E 25 St & 1 Ave","40.7381765","-73.97738662","18261","Subscriber","1970","1"
"1223","6/1/2016 00:03:04","6/1/2016 00:23:27","377","6 Ave & Canal St","40.72243797","-74.00566443","2008","Little West St & 1 Pl","40.70569254","-74.01677685","21622","Subscriber","1994","1"
"823","6/1/2016 00:03:16","6/1/2016 00:16:59","415","Pearl St & Hanover Square","40.7047177","-74.00926027","350","Clinton St & Grand St","40.71559509","-73.9870295","15121","Subscriber","1952","1"
"1154","6/1/2016 00:03:21","6/1/2016 00:22:36","439","E 4 St & 2 Ave","40.7262807","-73.98978041","302","Avenue D & E 3 St","40.72082834","-73.97793172","24995","Subscriber","1961","1"
"246","6/1/2016 00:03:20","6/1/2016 00:07:26","461","E 20 St & 2 Ave","40.73587678","-73.98205027","476","E 31 St & 3 Ave","40.74394314","-73.97966069","18648","Subscriber","1963","1"
"1199","6/1/2016 00:03:26","6/1/2016 00:23:26","377","6 Ave & Canal St","40.72243797","-74.00566443","2008","Little West St & 1 Pl","40.70569254","-74.01677685","24795","Subscriber","1995","2"
"1165","6/1/2016 00:03:41","6/1/2016 00:23:06","238","Bank St & Washington St","40.7361967","-74.00859207","527","E 33 St & 2 Ave","40.744023","-73.976056","24194","Subscriber","1992","1"
"808","6/1/2016 00:03:41","6/1/2016 00:17:10","345","W 13 St & 6 Ave","40.73649403","-73.99704374","401","Allen St & Rivington St","40.72019576","-73.98997825","21395","Subscriber","1991","2"
"1362","6/1/2016 00:03:43","6/1/2016 00:26:25","3171","Amsterdam Ave & W 82 St","40.78524672","-73.97667321","515","W 43 St & 10 Ave","40.76009437","-73.99461843","25186","Subscriber","1984","1"
"741","6/1/2016 00:04:19","6/1/2016 00:16:40","462","W 22 St & 10 Ave","40.74691959","-74.00451887","504","1 Ave & E 15 St","40.73221853","-73.98165557","22453","Subscriber","1988","1"
"154","6/1/2016 00:04:20","6/1/2016 00:06:55","3125","45 Rd & 11 St","40.74708586","-73.94977234","3124","46 Ave & 5 St","40.74731","-73.95451","16899","Subscriber","1987","2"
"936","6/1/2016 00:04:27","6/1/2016 00:20:03","473","Rivington St & Chrystie St","40.72110063","-73.9919254","346","Bank St & Hudson St","40.73652889","-74.00618026","21075","Subscriber","1986","1"
"116","6/1/2016 00:04:50","6/1/2016 00:06:47","3125","45 Rd & 11 St","40.74708586","-73.94977234","3124","46 Ave & 5 St","40.74731","-73.95451","20336","Subscriber","1987","1"
"380","6/1/2016 00:04:51","6/1/2016 00:11:11","328","Watts St & Greenwich St","40.72405549","-74.00965965","127","Barrow St & Hudson St","40.73172428","-74.00674436","19172","Subscriber","1983","2"
"1376","6/1/2016 00:04:51","6/1/2016 00:27:47","127","Barrow St & Hudson St","40.73172428","-74.00674436","422","W 59 St & 10 Ave","40.770513","-73.988038","22104","Subscriber","1979","1"
"1309","6/1/2016 00:04:56","6/1/2016 00:26:46","127","Barrow St & Hudson St","40.73172428","-74.00674436","530","11 Ave & W 59 St","40.771522","-73.990541","23723","Subscriber","1974","1"
"1991","6/1/2016 00:05:06","6/1/2016 00:38:17","504","1 Ave & E 15 St","40.73221853","-73.98165557","487","E 20 St & FDR Drive","40.73314259","-73.97573881","24998","Subscriber","1990","1"
"1406","6/1/2016 00:05:07","6/1/2016 00:28:33","3120","Center Blvd & Borden Ave","40.74161","-73.96044","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","22901","Customer","","0"
"2184","6/1/2016 00:05:09","6/1/2016 00:41:33","152","Warren St & Church St","40.71473993","-74.00910627","436","Hancock St & Bedford Ave","40.68216564","-73.95399026","25304","Subscriber","1983","1"
